sensor1,sensor2,speedSet,load_value,gear_fault_desc,gear_fault,year,month,day,hour,minute,second
2.521001056191252,2.4308245627670835,8.33203125,0,eccentricity,3,2023,5,3,20,31,39
2.513773786175,2.4324671194230314,40.0,80,chipped tooth,2,2023,5,2,16,40,19
2.5298708899967868,2.4314815854187715,25.0,80,Root crack,1,2023,5,3,14,55,51
2.522479361639994,2.43476669889108,40.0,0,eccentricity,3,2023,5,3,20,28,6
2.5177159332371777,2.43033179578767,8.33203125,80,No fault,0,2023,5,3,21,49,9
2.5203440315711623,2.424911359542847,25.0,0,eccentricity,3,2023,5,3,20,20,0
2.5208368000348567,2.431645841083921,40.0,0,eccentricity,3,2023,5,3,20,28,6
2.532498989415662,2.427867961010803,40.0,80,Root crack,1,2023,5,3,15,3,40
2.513773786175,2.4153845345487865,40.0,80,missing tooth,4,2023,5,3,12,26,51
2.507367798320572,2.4295105175064573,40.0,0,chipped tooth,2,2023,5,2,15,55,5
2.523629154818065,2.421133480308518,25.0,80,missing tooth,4,2023,5,3,12,35,21
2.5205082877248124,2.429839028816271,8.33203125,0,Root crack,1,2023,5,3,14,41,32
2.488642610993045,2.455791433575856,40.0,80,Root crack,1,2023,5,3,15,3,41
2.5177159332371777,2.4260611489683632,8.33203125,0,chipped tooth,2,2023,5,2,15,53,11
2.5190299823749016,2.428032216656363,8.33203125,80,surface defect,5,2023,5,2,14,31,48
2.52445043568702,2.414563256671806,25.0,0,surface defect,5,2023,5,2,14,29,44
2.5196870069657136,2.4301675401296463,8.33203125,0,Root crack,1,2023,5,3,14,41,34
2.546296515225861,2.481251092925836,40.0,80,surface defect,5,2023,5,7,17,10,14
2.518372957798724,2.4314815854187715,25.0,0,eccentricity,3,2023,5,3,20,20,1
2.505396725413629,2.433452653459372,25.0,80,missing tooth,4,2023,5,3,12,35,20
2.4989907393715955,2.403722390770085,40.0,80,chipped tooth,2,2023,5,2,16,40,23
2.5351270890696225,2.433945420489576,25.0,0,Root crack,1,2023,5,3,14,59,9
2.519522750816638,2.427046682796349,8.33203125,0,chipped tooth,2,2023,5,2,15,53,9
2.5127882494916687,2.4214619915276288,40.0,0,missing tooth,4,2023,5,3,12,28,21
2.5283925841769097,2.4277037053661323,40.0,0,eccentricity,3,2023,5,3,20,28,7
2.5233006424768947,2.428360727950153,40.0,0,Root crack,1,2023,5,3,15,1,5
2.4991549954066694,2.46876764434635,40.0,80,surface defect,5,2023,5,7,17,10,13
2.5200155192666083,2.43476669889108,8.33203125,80,chipped tooth,2,2023,5,2,16,4,30
2.562722149675389,2.4372305342293794,40.0,0,surface defect,5,2023,5,7,17,11,47
2.5196870069657136,2.4290177505484145,40.0,0,chipped tooth,2,2023,5,2,15,55,3
2.518865726229485,2.429839028816271,8.33203125,80,No fault,0,2023,5,3,21,49,12
2.523793410990024,2.4224475252062776,25.0,0,chipped tooth,2,2023,5,2,15,54,36
2.528228327979288,2.422119013976508,25.0,80,eccentricity,3,2023,5,3,20,22,8
2.5132810178292257,2.427539449722352,25.0,80,chipped tooth,2,2023,5,2,16,31,59
2.528556840375449,2.4214619915276288,40.0,0,eccentricity,3,2023,5,3,20,28,7
2.5131167617157937,2.469588923698017,40.0,80,surface defect,5,2023,5,7,17,10,15
2.518372957798724,2.4306603071063884,8.33203125,80,Root crack,1,2023,5,3,14,41,56
2.5247789480410145,2.425568382066378,25.0,0,surface defect,5,2023,5,2,14,29,44
2.518044445516121,2.440351392612835,25.0,80,eccentricity,3,2023,5,3,20,22,9
2.5172231648256176,2.427539449722352,8.33203125,80,missing tooth,4,2023,5,3,13,7,25
2.526585766053502,2.440351392612835,40.0,80,No fault,0,2023,5,3,22,6,5
2.5415330829621583,2.42080496909296,40.0,80,No fault,0,2023,5,3,22,6,5
2.5203440315711623,2.427867961010803,8.33203125,0,Root crack,1,2023,5,3,14,41,35
2.514266554528993,2.4469216218429697,40.0,80,Root crack,1,2023,5,3,15,3,41
2.515087835137249,2.4308245627670835,8.33203125,80,surface defect,5,2023,5,2,14,31,49
2.529706633790908,2.426882427156128,25.0,80,chipped tooth,2,2023,5,2,16,32,2
2.5099958957340136,2.417848368312728,40.0,80,chipped tooth,2,2023,5,2,16,40,23
2.5347985766000147,2.4175198571326724,25.0,80,No fault,0,2023,5,2,10,30,2
2.5219865931488417,2.428196472302813,8.33203125,0,Root crack,1,2023,5,3,14,41,34
2.528885352775279,2.4529990851558017,40.0,0,No fault,0,2023,5,3,22,10,4
2.529542377585948,2.43476669889108,40.0,80,No fault,0,2023,5,3,22,6,5
2.5029328844644065,2.427539449722352,25.0,80,No fault,0,2023,5,2,10,30,4
2.5014545799931924,2.43033179578767,40.0,0,surface defect,5,2023,5,7,17,11,46
2.519522750816638,2.428360727950153,40.0,80,No fault,0,2023,5,3,22,6,5
2.524286179511397,2.4295105175064573,25.0,80,Root crack,1,2023,5,3,14,55,54
2.5200155192666083,2.4300032844725137,8.33203125,0,missing tooth,4,2023,5,3,13,6,41
2.5379194452097424,2.456119945171733,40.0,0,surface defect,5,2023,5,7,17,11,47
2.5132810178292257,2.427539449722352,40.0,80,chipped tooth,2,2023,5,2,16,40,23
2.5191942385212323,2.4272109384374603,8.33203125,0,surface defect,5,2023,5,2,14,35,18
2.522479361639994,2.4314815854187715,8.33203125,0,No fault,0,2023,5,3,21,47,31
2.5193584946684777,2.4341096761680934,25.0,0,chipped tooth,2,2023,5,2,15,54,34
2.5177159332371777,2.427867961010803,8.33203125,80,surface defect,5,2023,5,2,14,31,50
2.5272427908128137,2.433945420489576,25.0,80,eccentricity,3,2023,5,3,20,22,6
2.5211653123485616,2.431974352416892,8.33203125,0,No fault,0,2023,5,3,21,47,32
2.5214938246659275,2.4352594659426834,25.0,80,missing tooth,4,2023,5,3,12,35,21
2.5132810178292257,2.4372305342293794,25.0,80,missing tooth,4,2023,5,3,12,35,18
2.5208368000348567,2.424418592659534,25.0,80,chipped tooth,2,2023,5,2,16,32,2
2.519522750816638,2.431974352416892,25.0,0,Root crack,1,2023,5,3,14,59,8
2.5196870069657136,2.428689239247504,8.33203125,0,missing tooth,4,2023,5,3,13,6,41
2.5187014700849835,2.425896893333479,25.0,0,missing tooth,4,2023,5,3,12,33,32
2.5147593228912064,2.4352594659426834,25.0,80,Root crack,1,2023,5,3,14,55,52
2.520179775418428,2.4293462618528863,8.33203125,80,No fault,0,2023,5,3,21,49,8
2.509831639638834,2.422940292057594,40.0,0,surface defect,5,2023,5,7,17,11,47
2.522315105475361,2.4367377671456607,25.0,0,missing tooth,4,2023,5,3,12,33,34
2.5208368000348567,2.4290177505484145,8.33203125,80,No fault,0,2023,5,3,21,49,11
2.526092997493644,2.4260611489683632,25.0,80,chipped tooth,2,2023,5,2,16,32,1
2.5200155192666083,2.429674773160919,8.33203125,80,missing tooth,4,2023,5,3,13,7,23
2.5311849396768507,2.440679904040373,40.0,80,eccentricity,3,2023,5,3,20,29,39
2.5167303964222856,2.4301675401296463,8.33203125,80,chipped tooth,2,2023,5,2,16,4,33
2.514595066769555,2.421297735917629,25.0,0,No fault,0,2023,5,2,11,29,27
2.519522750816638,2.421626247138516,25.0,0,chipped tooth,2,2023,5,2,15,54,36
2.527407047004933,2.4544773872282404,40.0,0,surface defect,5,2023,5,7,17,11,44
2.515252091261641,2.436080744379861,8.33203125,80,surface defect,5,2023,5,2,14,31,50
2.5214938246659275,2.4235973145384584,25.0,0,missing tooth,4,2023,5,3,12,33,35
2.5129525056032747,2.4465931103474743,40.0,80,Root crack,1,2023,5,3,15,3,37
2.505396725413629,2.4288534948975142,25.0,80,missing tooth,4,2023,5,3,12,35,21
2.518044445516121,2.425075615172396,8.33203125,0,surface defect,5,2023,5,2,14,35,17
2.521329568506787,2.429674773160919,8.33203125,80,Root crack,1,2023,5,3,14,41,53
2.507860566567813,2.4306603071063884,40.0,80,Root crack,1,2023,5,3,15,3,38
2.5228078739720075,2.431974352416892,8.33203125,80,No fault,0,2023,5,3,21,49,12
2.522315105475361,2.4350952102579235,25.0,80,No fault,0,2023,5,2,10,30,1
2.5191942385212323,2.427867961010803,25.0,0,Root crack,1,2023,5,3,14,59,11
2.5185372139413964,2.4362450000699725,40.0,0,chipped tooth,2,2023,5,2,15,55,5
2.5214938246659275,2.4300032844725137,8.33203125,0,No fault,0,2023,5,3,21,47,32
2.5203440315711623,2.442979484133219,25.0,80,Root crack,1,2023,5,3,14,55,54
2.5219865931488417,2.416370068030419,40.0,0,missing tooth,4,2023,5,3,12,28,18
2.522315105475361,2.4447862971862304,40.0,80,eccentricity,3,2023,5,3,20,29,36
2.5218223369869546,2.432302863753427,25.0,0,Root crack,1,2023,5,3,14,59,10
2.5196870069657136,2.421626247138516,25.0,0,chipped tooth,2,2023,5,2,15,54,35
2.5182087016569654,2.4293462618528863,8.33203125,0,surface defect,5,2023,5,2,14,35,17
2.5257644851249883,2.4232688032962497,8.33203125,80,surface defect,5,2023,5,2,14,31,49
2.514102298410082,2.4308245627670835,40.0,80,No fault,0,2023,5,3,22,6,5
2.5219865931488417,2.4306603071063884,8.33203125,80,missing tooth,4,2023,5,3,13,7,26
2.5200155192666083,2.4306603071063884,8.33203125,0,eccentricity,3,2023,5,3,20,31,42
2.5203440315711623,2.4308245627670835,8.33203125,0,missing tooth,4,2023,5,3,13,6,40
2.515252091261641,2.4314815854187715,25.0,80,missing tooth,4,2023,5,3,12,35,18
2.522150849311644,2.428689239247504,8.33203125,0,No fault,0,2023,5,3,21,47,35
2.51738742096189,2.421133480308518,40.0,0,chipped tooth,2,2023,5,2,15,55,3
2.520179775418428,2.427867961010803,8.33203125,80,chipped tooth,2,2023,5,2,16,4,29
2.5448182085783304,2.4401871369004056,40.0,80,chipped tooth,2,2023,5,2,16,40,22
2.5132810178292257,2.435752233002314,40.0,0,chipped tooth,2,2023,5,2,15,55,2
2.5190299823749016,2.417355601543975,40.0,0,surface defect,5,2023,5,7,17,11,48
2.5187014700849835,2.434930954574056,25.0,80,No fault,0,2023,5,2,10,30,4
2.5311849396768507,2.3830262029044853,25.0,0,surface defect,5,2023,5,2,14,29,42
2.523136386307683,2.4372305342293794,25.0,80,missing tooth,4,2023,5,3,12,35,18
2.524943204219386,2.437559045622988,40.0,0,No fault,0,2023,5,3,22,10,0
2.5214938246659275,2.4293462618528863,8.33203125,0,surface defect,5,2023,5,2,14,35,17
2.519522750816638,2.4254041264341613,40.0,0,eccentricity,3,2023,5,3,20,28,9
2.50884610308691,2.431974352416892,25.0,80,No fault,0,2023,5,2,10,30,4
2.523957667162899,2.4362450000699725,40.0,80,eccentricity,3,2023,5,3,20,29,36
2.518044445516121,2.4260611489683632,25.0,0,chipped tooth,2,2023,5,2,15,54,33
2.5187014700849835,2.4300032844725137,8.33203125,0,missing tooth,4,2023,5,3,13,6,39
2.5211653123485616,2.4265539158783533,25.0,0,No fault,0,2023,5,2,11,29,25
2.518044445516121,2.429674773160919,8.33203125,80,missing tooth,4,2023,5,3,13,7,25
2.520179775418428,2.428524983598383,8.33203125,0,chipped tooth,2,2023,5,2,15,53,8
2.522643617805543,2.430496051446584,8.33203125,0,eccentricity,3,2023,5,3,20,31,39
2.52445043568702,2.429839028816271,25.0,80,chipped tooth,2,2023,5,2,16,32,2
2.521658080825983,2.416370068030419,25.0,0,No fault,0,2023,5,2,11,29,25
2.544161183425615,2.4321386080847143,25.0,80,Root crack,1,2023,5,3,14,55,52
2.524286179511397,2.424747103914187,8.33203125,80,surface defect,5,2023,5,2,14,31,50
2.5172231648256176,2.425239870802834,40.0,0,eccentricity,3,2023,5,3,20,28,6
2.520672543879377,2.401915580160904,40.0,80,surface defect,5,2023,5,7,17,10,15
2.5219865931488417,2.428360727950153,8.33203125,80,Root crack,1,2023,5,3,14,41,55
2.520672543879377,2.429839028816271,8.33203125,0,Root crack,1,2023,5,3,14,41,34
2.5287210965749054,2.431645841083921,25.0,80,eccentricity,3,2023,5,3,20,22,9
2.52412192333669,2.424418592659534,25.0,0,Root crack,1,2023,5,3,14,59,8
2.523957667162899,2.437559045622988,40.0,0,Root crack,1,2023,5,3,15,1,3
2.5229721301393875,2.4306603071063884,8.33203125,0,eccentricity,3,2023,5,3,20,31,40
2.5178801893761924,2.428360727950153,8.33203125,0,chipped tooth,2,2023,5,2,15,53,8
2.5170589086902595,2.428196472302813,25.0,0,eccentricity,3,2023,5,3,20,20,4
2.5101601518301058,2.4350952102579235,25.0,80,eccentricity,3,2023,5,3,20,22,9
2.522315105475361,2.422611780822495,25.0,0,chipped tooth,2,2023,5,2,15,54,36
2.523629154818065,2.431645841083921,8.33203125,0,eccentricity,3,2023,5,3,20,31,41
2.4983337152403924,2.316831345946473,40.0,80,surface defect,5,2023,5,7,17,10,14
2.498169459209864,2.3835189691199448,40.0,80,surface defect,5,2023,5,7,17,10,15
2.5270785346216105,2.427539449722352,40.0,0,No fault,0,2023,5,3,22,10,1
2.5165661402896697,2.428689239247504,25.0,0,chipped tooth,2,2023,5,2,15,54,35
2.5104886640250257,2.4291820062002056,40.0,0,chipped tooth,2,2023,5,2,15,55,3
2.5191942385212323,2.4272109384374603,8.33203125,0,chipped tooth,2,2023,5,2,15,53,9
2.5214938246659275,2.4288534948975142,8.33203125,80,eccentricity,3,2023,5,3,20,34,18
2.520179775418428,2.428360727950153,25.0,80,No fault,0,2023,5,2,10,30,2
2.5219865931488417,2.4301675401296463,8.33203125,0,No fault,0,2023,5,3,21,47,35
2.5165661402896697,2.4362450000699725,25.0,80,eccentricity,3,2023,5,3,20,22,6
2.5178801893761924,2.4308245627670835,25.0,0,missing tooth,4,2023,5,3,12,33,32
2.505068213275227,2.428196472302813,40.0,80,eccentricity,3,2023,5,3,20,29,35
